"","total_claim_amount","pol_bonus","pol_coverage","pol_duration","pol_sit_duration","pol_pay_freq","pol_payd","pol_usage","pol_insee_code","drv_drv2","drv_age1","drv_age2","drv_sex1","drv_sex2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_fuel","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_type","vh_value","vh_weight"
"27",1427.13,0.5,"Maxi",3,2,"Biannual","No","WorkPrivate","34192","Yes",53,59,"F","M",34,40,8,1998,134,"Gasoline","PEUGEOT","406",13,9,203,"Tourism",27210,1342
"28",275.99,0.64,"Maxi",9,1,"Yearly","No","WorkPrivate","09282","No",31,0,"F","",13,0,10,1896,111,"Diesel","VOLKSWAGEN","GOLF",13,12,190,"Tourism",19179,1000
"29",7795.57,0.5,"Maxi",2,1,"Monthly","No","WorkPrivate","06088","Yes",46,21,"F","F",24,2,7,1461,66,"Diesel","RENAULT","CLIO",10,8,163,"Tourism",13050,960
"30",1287,0.5,"Maxi",3,3,"Monthly","No","Retired","55040","No",71,0,"F","",35,0,6,1461,66,"Diesel","RENAULT","CLIO",10,8,163,"Tourism",13050,960
"31",2021.92,0.5,"Maxi",4,4,"Yearly","No","Retired","83129","Yes",73,80,"F","M",48,55,10,1997,90,"Diesel","PEUGEOT","307",10,7,179,"Tourism",18100,1243
"32",4916.24,0.51,"Maxi",8,3,"Yearly","No","WorkPrivate","75116","No",45,0,"M","",26,0,4,1968,170,"Diesel","AUDI","A3",5,3,220,"Tourism",33610,1440
"33",1236,0.5,"Maxi",7,1,"Monthly","No","Professional","28218","Yes",54,54,"F","M",35,35,7,1896,101,"Diesel","VOLKSWAGEN","PASSAT",7,7,191,"Tourism",24190,1361
"34",1236,0.5,"Maxi",7,2,"Yearly","No","Retired","81152","No",62,0,"M","",44,0,8,1997,90,"Diesel","CITROEN","BERLINGO",9,7,163,"Commercial",15727,1110
"35",189.87,0.5,"Maxi",5,2,"Biannual","No","WorkPrivate","31291","Yes",56,26,"F","F",36,5,13,1332,75,"Gasoline","TOYOTA","STARLET",13,12,170,"Tourism",10199,830
"36",-610.99,0.5,"Maxi",9,1,"Biannual","No","WorkPrivate","69069","Yes",43,41,"M","F",21,22,10,2171,170,"Gasoline","BMW","320 I",11,7,222,"Tourism",39950,1365
"37",1283.84,0.5,"Median2",7,2,"Quarterly","No","WorkPrivate","75113","No",37,0,"M","",17,0,10,2979,231,"Gasoline","BMW","530 I",11,10,244,"Tourism",43830,1635
"38",139.13,0.5,"Maxi",10,1,"Yearly","No","Retired","45147","No",69,0,"M","",51,0,8,1997,90,"Diesel","CITROEN","XSARA",12,6,175,"Tourism",20750,1320
"39",320.73,0.54,"Maxi",1,1,"Yearly","No","Professional","67309","No",36,0,"M","",18,0,13,2499,79,"Diesel","RENAULT","MASTER",14,11,125,"Commercial",25188,0
"40",1855.11,0.58,"Maxi",3,1,"Biannual","No","WorkPrivate","07010","Yes",55,47,"M","F",35,26,2,1997,140,"Diesel","FORD","S-MAX",5,1,197,"Tourism",34850,1668
"41",1337.71,0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","67383","No",33,0,"F","",15,0,7,1910,150,"Diesel","ALFA ROMEO","GT",7,2,209,"Tourism",30400,1365
"42",131.57,0.5,"Maxi",26,3,"Biannual","No","WorkPrivate","78646","Yes",54,26,"F","M",36,7,3,1598,120,"Gasoline","MINI","MINI",5,5,203,"Tourism",18900,1140
"43",439.47,0.85,"Maxi",4,2,"Monthly","No","WorkPrivate","28209","No",25,0,"F","",4,0,6,1299,70,"Gasoline","FORD","FIESTA",8,7,161,"Tourism",12500,1030
"44",1984.95,0.5,"Maxi",6,4,"Monthly","No","Retired","11088","No",64,0,"F","",44,0,5,1398,68,"Diesel","PEUGEOT","206",9,9,168,"Tourism",14520,1049
"45",88.98,0.68,"Maxi",1,1,"Monthly","No","Professional","02238","No",48,0,"M","",29,0,4,1995,90,"Diesel","OPEL","VIVARO",5,1,145,"Commercial",27480,1725
"46",574.09,0.72,"Maxi",7,4,"Yearly","No","WorkPrivate","64100","Yes",40,47,"F","M",19,27,4,1968,140,"Diesel","VOLKSWAGEN","TOURAN",5,4,198,"Tourism",27540,1592
"47",5013.73,0.5,"Maxi",30,2,"Quarterly","No","Retired","42302","Yes",66,65,"M","F",46,46,3,1461,106,"Diesel","RENAULT","SCENIC",6,5,178,"Tourism",24100,1365
"48",106.14,0.5,"Maxi",2,2,"Biannual","No","WorkPrivate","89326","Yes",34,34,"M","F",15,13,2,1560,90,"Diesel","PEUGEOT","PARTNER",3,1,161,"Tourism",19800,1407
"49",-171.12,0.5,"Maxi",2,2,"Monthly","No","WorkPrivate","37237","No",42,0,"M","",12,0,5,1870,101,"Diesel","RENAULT","TRAFIC",5,5,155,"Commercial",24638,0
"50",287.58,0.5,"Maxi",17,1,"Yearly","Yes","Retired","83069","No",85,0,"F","",59,0,22,1390,81,"Gasoline","RENAULT","R19",23,19,173,"Tourism",12067,940
"51",1236,0.5,"Maxi",25,1,"Yearly","Yes","Retired","44069","Yes",80,78,"M","F",57,53,7,2230,158,"Gasoline","PEUGEOT","407",7,6,220,"Tourism",26900,1555
"52",1030.76,0.57,"Mini",5,1,"Yearly","No","Professional","83144","No",32,0,"M","",12,0,6,1997,94,"Diesel","PEUGEOT","EXPERT",11,5,160,"Commercial",21409,0
"53",1236,0.5,"Maxi",5,1,"Yearly","No","Retired","07127","Yes",75,69,"M","F",51,26,5,1364,90,"Gasoline","OPEL","MERIVA",7,2,168,"Tourism",13690,1275
"54",-192.19,0.5,"Maxi",28,1,"Yearly","No","WorkPrivate","59143","No",54,0,"F","",35,0,1,1124,60,"Gasoline","CITROEN","C3",2,1,155,"Tourism",13500,1010
"55",312.57,0.5,"Maxi",5,5,"Biannual","No","WorkPrivate","91182","No",38,0,"M","",20,0,6,1364,90,"Gasoline","OPEL","TIGRA",7,7,180,"Tourism",17900,1160
"56",-411.53,0.5,"Maxi",8,1,"Monthly","No","WorkPrivate","27220","No",46,0,"M","",27,0,4,1461,68,"Diesel","DACIA","LOGAN",5,3,158,"Tourism",10790,1065
"57",-1215.84,0.5,"Median1",6,2,"Monthly","No","WorkPrivate","61342","Yes",43,43,"M","F",16,21,11,1870,108,"Diesel","RENAULT","LAGUNA",12,11,190,"Tourism",23935,1310
"58",1010.41,0.5,"Median1",3,3,"Biannual","No","WorkPrivate","86300","No",53,0,"M","",30,0,22,2383,109,"Diesel","VOLVO","740",25,23,190,"Tourism",24148,1439
"59",3443.81,0.5,"Maxi",12,1,"Yearly","No","WorkPrivate","59400","No",49,0,"F","",29,0,6,1461,106,"Diesel","RENAULT","SCENIC",6,5,178,"Tourism",24100,1365
"60",83.5,0.57,"Maxi",32,2,"Monthly","No","Retired","44055","No",65,0,"F","",42,0,4,1598,120,"Gasoline","PEUGEOT","207",4,3,195,"Tourism",19750,1391
"61",597.42,0.57,"Maxi",2,2,"Yearly","No","WorkPrivate","33167","Yes",30,30,"F","M",12,11,5,1896,105,"Diesel","AUDI","A3",8,2,187,"Tourism",27010,1295
"62",160.86,0.62,"Maxi",5,1,"Yearly","No","Professional","75109","Yes",60,31,"F","M",34,13,5,1587,109,"Gasoline","PEUGEOT","207",5,4,194,"Tourism",15750,1225
"63",609.31,0.5,"Maxi",25,2,"Biannual","No","Retired","36046","Yes",73,68,"M","F",51,49,2,1339,98,"Hybrid","HONDA","INSIGHT",2,1,182,"Tourism",22500,1204
"64",297.68,0.5,"Maxi",4,4,"Yearly","No","Retired","76498","Yes",67,68,"M","F",44,37,4,1461,70,"Diesel","DACIA","LOGAN",5,3,162,"Tourism",11100,1190
"65",2554.43,0.5,"Median1",1,1,"Yearly","No","WorkPrivate","94018","Yes",62,32,"F","F",39,14,18,1590,123,"Gasoline","ROVER","216",19,15,200,"Tourism",21191,1085
"66",-19.85,0.53,"Mini",1,1,"Monthly","No","WorkPrivate","34157","No",48,0,"M","",24,0,24,956,34,"Gasoline","RENAULT","R4",25,19,118,"Tourism",6937,685
"67",1240.31,0.5,"Maxi",19,3,"Biannual","No","WorkPrivate","67266","No",52,0,"F","",32,0,3,1598,112,"Gasoline","RENAULT","CLIO",6,5,186,"Tourism",15850,1180
"68",712.18,0.54,"Maxi",2,2,"Monthly","No","WorkPrivate","57306","Yes",35,30,"M","F",15,11,6,1560,109,"Diesel","CITROEN","XSARA",7,6,183,"Tourism",23500,1313
"69",530.52,0.58,"Maxi",25,2,"Biannual","No","WorkPrivate","07254","Yes",56,34,"F","M",35,15,3,1998,127,"Diesel","TOYOTA","AURIS",4,1,195,"Tourism",21850,1385
"70",488.67,0.5,"Maxi",3,3,"Monthly","No","WorkPrivate","59350","No",51,0,"M","",32,0,6,1596,109,"Diesel","FORD","FOCUS",8,6,185,"Tourism",20150,1327
"71",257.83,0.63,"Maxi",3,3,"Yearly","No","Professional","94081","Yes",53,48,"M","F",25,29,5,1995,150,"Gasoline","BMW","320 I",6,4,220,"Tourism",30650,1320
"72",1240.89,0.51,"Median2",6,3,"Biannual","No","WorkPrivate","49007","No",33,0,"F","",14,0,8,1149,59,"Gasoline","RENAULT","TWINGO",11,5,151,"Tourism",10138,823
"73",2497.06,0.5,"Maxi",20,3,"Monthly","No","WorkPrivate","57373","No",42,0,"M","",23,0,3,1560,93,"Diesel","CITROEN","BERLINGO",6,3,163,"Tourism",17550,1240
"74",3376.15,0.5,"Maxi",15,3,"Yearly","No","Professional","57463","No",44,0,"F","",18,0,8,1124,60,"Gasoline","PEUGEOT","106",11,8,164,"Tourism",9700,835
"75",4593.99,0.5,"Maxi",15,4,"Yearly","No","Retired","69202","Yes",75,22,"F","F",45,111,6,1360,90,"Gasoline","PEUGEOT","206",8,6,185,"Tourism",14500,1025
"76",315.78,0.5,"Maxi",3,3,"Yearly","No","WorkPrivate","26281","Yes",67,27,"M","M",35,8,7,1896,131,"Diesel","VOLKSWAGEN","PASSAT",11,7,208,"Tourism",25500,1375
"77",2453.28,0.72,"Maxi",1,1,"Monthly","No","WorkPrivate","91589","No",26,0,"F","",7,0,7,1587,109,"Gasoline","PEUGEOT","206",11,8,197,"Tourism",16500,950
"78",101.59,0.5,"Median1",14,1,"Biannual","No","WorkPrivate","62446","Yes",61,60,"M","F",41,36,9,2179,134,"Diesel","PEUGEOT","607",12,7,205,"Tourism",36350,1535
"79",680.33,0.5,"Maxi",25,3,"Yearly","No","WorkPrivate","69211","Yes",49,22,"F","F",31,4,3,1328,93,"Gasoline","SUZUKI","SWIFT",6,1,175,"Tourism",13090,970
"80",1117.61,0.5,"Maxi",22,1,"Yearly","No","Retired","68271","No",79,0,"M","",32,0,1,998,68,"Gasoline","CITROEN","C1",6,2,157,"Tourism",8700,845
"81",2850.67,0.54,"Median1",24,3,"Biannual","No","WorkPrivate","38179","Yes",71,65,"M","F",49,27,15,1527,58,"Diesel","PEUGEOT","106",15,13,158,"Tourism",11221,895
"82",1236,0.51,"Median1",2,2,"Yearly","No","Retired","56260","No",70,0,"F","",41,0,13,1149,59,"Gasoline","RENAULT","TWINGO",13,11,151,"Tourism",8522,823
"83",445.83,0.76,"Maxi",1,1,"Yearly","No","WorkPrivate","72329","No",25,0,"F","",6,0,10,1461,66,"Diesel","RENAULT","CLIO",10,8,163,"Tourism",13050,960
"84",162.35,0.5,"Median2",34,4,"Biannual","No","Retired","70037","No",85,0,"M","",52,0,17,954,45,"Gasoline","PEUGEOT","106",19,17,145,"Tourism",9818,850
"85",542.47,0.5,"Maxi",2,2,"Yearly","No","WorkPrivate","64035","No",62,0,"F","",38,0,11,1587,90,"Gasoline","PEUGEOT","306",13,12,179,"Tourism",17303,1090
"86",472.2,0.5,"Maxi",12,3,"Monthly","No","WorkPrivate","67388","Yes",39,31,"M","F",18,11,5,1398,68,"Diesel","CITROEN","C3",9,9,158,"Tourism",12900,1058
"87",558.8,0.76,"Median2",1,1,"Monthly","No","WorkPrivate","57154","No",31,0,"M","",12,0,7,1997,90,"Diesel","CITROEN","BERLINGO",9,6,160,"Tourism",18950,1311
"88",1655.72,0.5,"Median1",26,3,"Yearly","No","WorkPrivate","45272","No",72,0,"M","",53,0,20,1360,71,"Gasoline","PEUGEOT","205",23,20,162,"Tourism",13422,885
"89",-342.1,0.62,"Maxi",15,2,"Yearly","No","WorkPrivate","26281","No",42,0,"M","",24,0,6,1560,90,"Diesel","PEUGEOT","307",6,6,174,"Tourism",20800,1560
"90",3246.68,0.76,"Maxi",25,3,"Yearly","No","WorkPrivate","85191","No",53,0,"M","",25,0,10,1587,96,"Gasoline","CITROEN","XSARA",11,6,171,"Tourism",17900,1315
"91",2909.54,0.5,"Maxi",26,4,"Biannual","No","WorkPrivate","38421","No",50,0,"M","",30,0,4,1598,116,"Gasoline","OPEL","ASTRA",4,2,192,"Tourism",24150,1495
"92",437.14,0.5,"Maxi",2,2,"Quarterly","No","Professional","25056","No",64,0,"M","",28,0,11,2461,109,"Diesel","VOLKSWAGEN","LT 28",12,5,146,"Commercial",24422,0
"93",241.3,0.5,"Maxi",21,9,"Biannual","No","Retired","33042","No",73,0,"M","",50,0,13,1391,75,"Gasoline","FORD","ESCORT",16,13,170,"Tourism",12395,1110
"94",90.4,0.5,"Maxi",26,1,"Monthly","No","WorkPrivate","62620","No",51,0,"M","",30,0,1,1248,75,"Diesel","FIAT","QUBO",2,1,155,"Tourism",17400,1275
"95",-207.53,0.5,"Maxi",5,2,"Monthly","No","Professional","33162","Yes",50,23,"M","M",32,5,7,1910,105,"Diesel","FIAT","DOBLO",7,6,170,"Commercial",15500,1310
"96",201.1,1.06,"Maxi",5,2,"Biannual","No","WorkPrivate","75118","No",34,0,"M","",5,0,5,1910,120,"Diesel","OPEL","ASTRA",7,6,191,"Tourism",21770,1393
"97",965.14,0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","76540","Yes",57,56,"F","M",38,38,12,1390,75,"Gasoline","VOLKSWAGEN","LUPO",13,11,172,"Tourism",10733,912
"98",506.77,0.54,"Maxi",6,1,"Biannual","No","WorkPrivate","09160","Yes",35,36,"F","M",17,6,11,1598,108,"Gasoline","RENAULT","LAGUNA",13,11,195,"Tourism",18752,1230
"99",597.52,0.5,"Median2",9,3,"Biannual","No","Professional","90052","No",51,0,"M","",33,0,9,2800,125,"Diesel","RENAULT","MASCOTT",12,7,127,"Commercial",35617,0
"100",1236,0.5,"Median2",7,1,"Monthly","No","WorkPrivate","53140","No",32,0,"M","",14,0,5,1995,164,"Diesel","BMW","320",6,4,225,"Tourism",37150,1415
"101",753.14,0.5,"Maxi",4,3,"Biannual","No","WorkPrivate","24145","Yes",45,55,"F","M",25,34,4,1461,106,"Diesel","RENAULT","MEGANE",6,5,185,"Tourism",21500,1205
"102",1096.76,0.72,"Mini",3,1,"Yearly","No","WorkPrivate","92050","No",27,0,"M","",7,0,8,1149,75,"Gasoline","RENAULT","CLIO",10,8,170,"Tourism",11250,910
"103",676.26,0.5,"Maxi",25,3,"Biannual","No","Retired","59606","No",66,0,"M","",48,0,3,1560,109,"Diesel","CITROEN","C4",7,3,192,"Tourism",25000,1280
"104",850.6,0.5,"Maxi",27,2,"Yearly","No","WorkPrivate","68022","Yes",54,23,"M","F",35,4,6,2148,123,"Diesel","MERCEDES BENZ","C200",8,5,208,"Tourism",31600,1505
"105",24.03,0.5,"Maxi",5,1,"Biannual","Yes","Retired","13207","Yes",86,58,"M","M",59,39,6,1461,66,"Diesel","RENAULT","CLIO",10,8,163,"Tourism",13050,960
"106",299.39,0.5,"Maxi",3,1,"Yearly","No","WorkPrivate","90054","Yes",35,35,"F","M",17,17,3,1461,86,"Diesel","RENAULT","MODUS",3,1,171,"Tourism",19850,1225
"107",359.96,0.9,"Median1",3,3,"Biannual","No","WorkPrivate","31263","No",34,0,"M","",16,0,10,2798,106,"Diesel","IVECO","DAILY",12,10,132,"Commercial",28371,0
"108",516.12,0.68,"Maxi",3,1,"Monthly","No","WorkPrivate","70311","Yes",31,36,"F","M",11,14,2,1461,64,"Diesel","RENAULT","CLIO",2,1,162,"Tourism",12249,1015
"109",272.12,0.68,"Maxi",3,3,"Monthly","No","Retired","69282","No",77,0,"M","",43,0,5,1398,68,"Diesel","CITROEN","C3",9,1,158,"Tourism",18150,1058
"110",1256.56,0.5,"Maxi",1,1,"Monthly","No","WorkPrivate","68224","Yes",60,62,"F","M",34,44,1,1997,136,"Diesel","PEUGEOT","807",2,1,190,"Tourism",36300,1743
"111",557.18,0.5,"Maxi",16,2,"Monthly","No","WorkPrivate","05061","No",38,0,"M","",18,0,2,1560,90,"Diesel","FORD","FIESTA",3,1,175,"Tourism",16780,1022
"112",281,0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","73030","No",50,0,"F","",32,0,8,1390,75,"Gasoline","SEAT","IBIZA",9,8,174,"Tourism",10865,1034
"113",64.29,0.5,"Median2",5,5,"Monthly","No","WorkPrivate","59519","No",53,0,"F","",31,0,21,1294,66,"Gasoline","PEUGEOT","309",26,22,162,"Tourism",10474,1290
"114",-170.13,0.5,"Maxi",1,1,"Biannual","No","Retired","67482","Yes",66,64,"M","F",46,41,1,1560,109,"Diesel","CITROEN","BERLINGO",3,1,173,"Tourism",22400,1429
"115",1236,0.5,"Mini",14,6,"Monthly","No","WorkPrivate","31044","No",55,0,"F","",33,0,15,1360,75,"Gasoline","CITROEN","ZX",18,16,172,"Tourism",12639,945
"116",474.06,0.5,"Median1",1,1,"Monthly","No","WorkPrivate","58004","No",26,0,"M","",7,0,24,2494,170,"Gasoline","BMW","325 I",25,22,215,"Tourism",30909,1255
"117",2548.22,0.95,"Median2",7,1,"Monthly","No","WorkPrivate","66136","No",46,0,"F","",27,0,12,1390,96,"Gasoline","RENAULT","MEGANE",12,11,185,"Tourism",15535,1080
"118",318.3,0.5,"Median2",28,18,"Yearly","No","WorkPrivate","44109","No",60,0,"M","",42,0,18,1598,101,"Gasoline","OPEL","ASTRA",19,17,188,"Tourism",14468,960
"119",917.3,0.5,"Maxi",10,3,"Monthly","No","WorkPrivate","13022","Yes",43,41,"M","F",24,9,3,1998,111,"Diesel","MAZDA","MAZDA5",4,3,179,"Tourism",23900,1535
"120",-10.59,0.54,"Median2",1,1,"Monthly","No","Professional","2A271","Yes",35,32,"M","F",17,14,14,2477,100,"Diesel","MITSUBISHI","L200",15,10,142,"Commercial",26949,1610
"121",227.35,0.5,"Median1",2,2,"Yearly","No","WorkPrivate","01036","Yes",34,39,"M","F",14,20,15,1769,60,"Diesel","PEUGEOT","205",28,18,155,"Tourism",11564,850
"122",892.85,0.95,"Maxi",1,1,"Monthly","No","WorkPrivate","38317","No",23,0,"F","",5,0,1,1461,68,"Diesel","DACIA","SANDERO",2,1,150,"Tourism",12200,1141
"123",729.21,0.9,"Maxi",11,2,"Monthly","No","WorkPrivate","62480","No",34,0,"F","",12,0,4,1398,68,"Diesel","PEUGEOT","207",5,4,166,"Tourism",16500,1186
"124",401.55,0.5,"Maxi",11,2,"Biannual","No","WorkPrivate","83118","Yes",48,49,"M","F",30,25,8,1995,116,"Diesel","TOYOTA","RAV4",8,6,170,"Tourism",29550,1490
"125",399.13,0.5,"Median1",19,1,"Yearly","No","Retired","50127","No",35,0,"M","",16,0,10,1124,60,"Gasoline","CITROEN","SAXO",11,8,164,"Tourism",9300,805
"126",106.14,0.5,"Maxi",1,1,"Monthly","No","WorkPrivate","75115","No",46,0,"M","",27,0,4,1560,109,"Diesel","CITROEN","C4 PICASSO",4,3,180,"Tourism",27000,1499
"127",487.26,0.62,"Maxi",13,1,"Monthly","No","WorkPrivate","34301","No",51,0,"M","",32,0,1,1582,90,"Diesel","KIA","CEE_D",4,2,172,"Tourism",17880,1367
"128",17.94,0.5,"Maxi",18,1,"Yearly","Yes","Retired","15012","No",79,0,"M","",56,0,9,1595,101,"Gasoline","AUDI","A3",12,9,188,"Tourism",18550,1140
"129",480.97,0.5,"Median2",16,3,"Yearly","No","WorkPrivate","32107","No",42,0,"M","",24,0,4,1364,90,"Gasoline","OPEL","ASTRA",5,2,178,"Tourism",17410,1230
"130",305.94,0.54,"Maxi",5,1,"Monthly","No","WorkPrivate","19031","No",36,0,"F","",17,0,1,1560,90,"Diesel","MINI","MINI",2,1,182,"Tourism",18200,1090
"131",800.17,0.5,"Maxi",26,4,"Yearly","No","Retired","33099","No",70,0,"F","",49,0,4,1991,109,"Diesel","MERCEDES BENZ","A180",7,1,186,"Tourism",26000,1270
"132",504.31,0.5,"Maxi",19,5,"Yearly","No","WorkPrivate","56035","No",45,0,"M","",24,0,13,1905,93,"Diesel","PEUGEOT","EXPERT",15,13,157,"Tourism",21572,2220
"133",1159.5,0.5,"Maxi",23,1,"Yearly","Yes","WorkPrivate","41276","Yes",73,71,"M","F",51,45,6,1493,102,"Diesel","HYUNDAI","MATRIX",6,6,164,"Tourism",17990,1348
"134",777.14,0.5,"Maxi",17,1,"Yearly","No","WorkPrivate","26362","No",54,0,"F","",36,0,8,1781,180,"Gasoline","AUDI","TT",13,7,226,"Tourism",34302,1205
"135",117.81,0.51,"Median1",9,1,"Biannual","No","WorkPrivate","94021","No",41,0,"M","",21,0,11,1896,116,"Diesel","VOLKSWAGEN","GOLF",11,6,195,"Tourism",21435,1260
"136",320.07,0.5,"Median2",6,1,"Monthly","No","WorkPrivate","82079","No",51,0,"M","",31,0,17,2068,89,"Diesel","RENAULT","ESPACE",18,15,160,"Tourism",26694,1350
"137",1236,0.85,"Median1",2,2,"Monthly","No","Retired","42218","No",63,0,"M","",38,0,14,1905,71,"Diesel","CITROEN","ZX",20,14,167,"Tourism",16084,1035
"138",1236,0.68,"Median2",8,1,"Yearly","No","WorkPrivate","30127","No",32,0,"M","",13,0,10,1896,101,"Diesel","VOLKSWAGEN","GOLF",10,7,188,"Tourism",21710,1260
"139",82.32,0.5,"Maxi",3,3,"Yearly","No","Retired","59623","No",61,0,"M","",34,0,3,1560,109,"Diesel","CITROEN","C4 PICASSO",3,1,180,"Tourism",28650,1489
"140",774.21,0.5,"Maxi",4,2,"Yearly","No","WorkPrivate","75114","No",46,0,"M","",25,0,10,1870,98,"Diesel","RENAULT","ESPACE",12,11,167,"Tourism",27441,1555
