"","total_claim_amount","pol_bonus","pol_duration","pol_sit_duration","pol_insee_code","drv_age1","drv_age2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_value","vh_weight","pol_coverageMaxi","pol_coverageMedian1","pol_coverageMedian2","pol_coverageMini","pol_pay_freqMonthly","pol_pay_freqQuarterly","pol_pay_freqYearly","pol_paydYes","pol_usageProfessional","pol_usageRetired","pol_usageWorkPrivate","vh_fuelGasoline","vh_fuelHybrid","vh_typeTourism","drv_sex1"
"45",106.14,0,0.027027027027027,0.0526315789473684,89,0.178571428571429,0.369565217391304,0.127272727272727,0.117117117117117,0.0188679245283019,0.216561724861668,0.148979591836735,34,387,0.037037037037037,0,0.386243386243386,0.144860743213241,0.4396875,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"46",287.58,0,0.432432432432432,0,83,0.785714285714286,0,0.527272727272727,0,0.39622641509434,0.184125166952872,0.130612244897959,37,412,0.407407407407407,0.36734693877551,0.44973544973545,0.08565938356479,0.29375,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0
"47",1236,0,0.648648648648649,0,44,0.726190476190476,0.847826086956522,0.509090909090909,0.477477477477477,0.113207547169811,0.344399923678687,0.287755102040816,34,54,0.111111111111111,0.102040816326531,0.698412698412698,0.199216058550627,0.4859375,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
"48",1030.76,0.0660377358490565,0.108108108108108,0,83,0.154761904761905,0,0.1,0,0.0943396226415094,0.299942759015455,0.157142857142857,34,258,0.185185185185185,0.0816326530612245,0.380952380952381,0.157178729463643,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"49",1236,0,0.108108108108108,0,6,0.666666666666667,0.75,0.454545454545455,0.234234234234234,0.0754716981132075,0.179164281625644,0.148979591836735,33,354,0.111111111111111,0.0204081632653061,0.423280423280423,0.0980845493102234,0.3984375,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1
"50",312.57,0,0.108108108108108,0.210526315789474,91,0.226190476190476,0,0.172727272727273,0,0.0943396226415094,0.179164281625644,0.148979591836735,33,480,0.111111111111111,0.122448979591837,0.486772486772487,0.130314954601828,0.3625,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"51",1010.41,0,0.0540540540540541,0.105263157894737,86,0.404761904761905,0,0.263636363636364,0,0.39622641509434,0.373592825796604,0.187755102040816,52,86,0.444444444444444,0.448979591836735,0.53968253968254,0.178147632098728,0.4496875,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"52",3443.81,0,0.297297297297297,0,59,0.357142857142857,0,0.254545454545455,0,0.0943396226415094,0.197672199961839,0.181632653061225,37,447,0.0925925925925926,0.0816326530612245,0.476190476190476,0.177780159544334,0.4265625,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"53",83.5,0.0660377358490565,0.837837837837838,0.0526315789473684,44,0.547619047619048,0,0.372727272727273,0,0.0566037735849057,0.223812249570693,0.210204081632653,34,16,0.0555555555555556,0.0408163265306122,0.566137566137566,0.144477959302415,0.4346875,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
"54",597.42,0.0660377358490565,0.027027027027027,0.0526315789473684,33,0.130952380952381,0.326086956521739,0.1,0.0990990990990991,0.0754716981132075,0.280671627551994,0.179591836734694,2,107,0.12962962962963,0.0204081632653061,0.523809523809524,0.200058183154446,0.4046875,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"55",160.86,0.113207547169811,0.108108108108108,0,75,0.488095238095238,0.33695652173913,0.3,0.117117117117117,0.0754716981132075,0.221713413470712,0.187755102040816,34,16,0.0740740740740741,0.0612244897959184,0.560846560846561,0.113855246436282,0.3828125,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"56",609.31,0,0.648648648648649,0.0526315789473684,36,0.642857142857143,0.739130434782609,0.454545454545455,0.441441441441441,0.0188679245283019,0.174394199580233,0.16530612244898,16,299,0.0185185185185185,0,0.497354497354497,0.165531074397881,0.37625,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"57",297.68,0,0.0810810810810811,0.157894736842105,76,0.571428571428571,0.739130434782609,0.390909090909091,0.333333333333333,0.0566037735849057,0.197672199961839,0.108163265306122,8,333,0.0740740740740741,0.0408163265306122,0.391534391534392,0.0782563427294024,0.371875,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"58",2554.43,0,0,0,94,0.511904761904762,0.347826086956522,0.345454545454545,0.126126126126126,0.320754716981132,0.222285823316161,0.216326530612245,38,18,0.333333333333333,0.285714285714286,0.592592592592593,0.155509791612439,0.3390625,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
"59",1240.31,0,0.486486486486487,0.105263157894737,67,0.392857142857143,0,0.281818181818182,0,0.0377358490566038,0.223812249570693,0.193877551020408,37,201,0.0925925925925926,0.0816326530612245,0.518518518518518,0.114620814257935,0.36875,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"60",712.18,0.0377358490566038,0.027027027027027,0.0526315789473684,57,0.19047619047619,0.326086956521739,0.127272727272727,0.0990990990990991,0.0943396226415094,0.216561724861668,0.187755102040816,7,528,0.111111111111111,0.102040816326531,0.502645502645503,0.173186752614414,0.4103125,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"61",530.52,0.0754716981132075,0.648648648648649,0.0526315789473684,6,0.44047619047619,0.369565217391304,0.309090909090909,0.135135135135135,0.0377358490566038,0.300133562297272,0.224489795918367,48,136,0.0555555555555556,0,0.566137566137566,0.160554883557134,0.4328125,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"62",488.67,0,0.0540540540540541,0.105263157894737,59,0.380952380952381,0,0.281818181818182,0,0.0943396226415094,0.22343064300706,0.187755102040816,15,267,0.12962962962963,0.102040816326531,0.513227513227513,0.147540230589028,0.4146875,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"63",257.83,0.122641509433962,0.0540540540540541,0.105263157894737,94,0.404761904761905,0.521739130434783,0.218181818181818,0.261261261261261,0.0754716981132075,0.299561152451822,0.271428571428571,3,40,0.0925925925925926,0.0612244897959184,0.698412698412698,0.227924851862627,0.4125,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1
"64",1240.89,0.00943396226415095,0.135135135135135,0.105263157894737,49,0.166666666666667,0,0.118181818181818,0,0.132075471698113,0.138141576035108,0.0857142857142857,37,495,0.185185185185185,0.0816326530612245,0.333333333333333,0.0708915802850975,0.2571875,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
"65",2497.06,0,0.513513513513513,0.105263157894737,57,0.273809523809524,0,0.2,0,0.0377358490566038,0.216561724861668,0.155102040816327,7,147,0.0925925925925926,0.0408163265306122,0.396825396825397,0.127635467226042,0.3875,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"66",3376.15,0,0.378378378378378,0.105263157894737,57,0.297619047619048,0,0.154545454545455,0,0.132075471698113,0.133371493989697,0.0877551020408163,34,3,0.185185185185185,0.142857142857143,0.402116402116402,0.0675383932262559,0.2609375,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"67",4593.99,0,0.378378378378378,0.157894736842105,69,0.666666666666667,0.239130434782609,0.4,1,0.0943396226415094,0.178401068498378,0.148979591836735,34,15,0.12962962962963,0.102040816326531,0.513227513227513,0.104285648665615,0.3203125,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"68",315.78,0,0.0540540540540541,0.105263157894737,24,0.571428571428571,0.293478260869565,0.309090909090909,0.0720720720720721,0.113207547169811,0.280671627551994,0.23265306122449,51,388,0.185185185185185,0.122448979591837,0.634920634920635,0.188498109047481,0.4296875,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"69",2453.28,0.207547169811321,0,0,91,0.0833333333333333,0,0.0545454545454545,0,0.113207547169811,0.221713413470712,0.187755102040816,34,15,0.185185185185185,0.142857142857143,0.576719576719577,0.119597005098682,0.296875,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"70",101.59,0,0.351351351351351,0,62,0.5,0.652173913043478,0.363636363636364,0.324324324324324,0.150943396226415,0.334668956306048,0.238775510204082,34,76,0.203703703703704,0.122448979591837,0.619047619047619,0.271562217696866,0.4796875,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"71",680.33,0,0.648648648648649,0.105263157894737,69,0.357142857142857,0.239130434782609,0.272727272727273,0.036036036036036,0.0377358490566038,0.172295363480252,0.155102040816327,47,472,0.0925925925925926,0,0.46031746031746,0.0934911423803035,0.303125,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"72",1117.61,0,0.567567567567568,0,68,0.714285714285714,0,0.281818181818182,0,0,0.109330280480824,0.104081632653061,7,158,0.0925925925925926,0.0204081632653061,0.365079365079365,0.0598827150097227,0.2640625,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1
"73",2850.67,0.0377358490566038,0.621621621621622,0.105263157894737,38,0.619047619047619,0.706521739130435,0.436363636363636,0.243243243243243,0.264150943396226,0.210265216561725,0.0836734693877551,34,3,0.259259259259259,0.244897959183673,0.37037037037037,0.0791826797936029,0.2796875,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"74",1236,0.00943396226415095,0.027027027027027,0.0526315789473684,56,0.607142857142857,0,0.363636363636364,0,0.226415094339623,0.138141576035108,0.0857142857142857,37,495,0.222222222222222,0.204081632653061,0.333333333333333,0.0585200042871798,0.2571875,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
"75",445.83,0.245283018867925,0,0,72,0.0714285714285714,0,0.0454545454545455,0,0.169811320754717,0.197672199961839,0.1,37,201,0.166666666666667,0.142857142857143,0.396825396825397,0.0931849152516421,0.3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"76",162.35,0,0.891891891891892,0.157894736842105,70,0.785714285714286,0,0.463636363636364,0,0.30188679245283,0.100934936080901,0.0571428571428571,34,3,0.333333333333333,0.326530612244898,0.301587301587302,0.0684417632558068,0.265625,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
"77",542.47,0,0.027027027027027,0.0526315789473684,64,0.511904761904762,0,0.336363636363636,0,0.188679245283019,0.221713413470712,0.148979591836735,34,32,0.222222222222222,0.224489795918367,0.481481481481481,0.125744514706558,0.340625,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"78",472.2,0,0.297297297297297,0.105263157894737,67,0.238095238095238,0.33695652173913,0.154545454545455,0.0990990990990991,0.0754716981132075,0.185651593207403,0.104081632653061,7,168,0.148148148148148,0.163265306122449,0.37037037037037,0.0920365635191622,0.330625,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"79",558.8,0.245283018867925,0,0,57,0.142857142857143,0,0.1,0,0.113207547169811,0.299942759015455,0.148979591836735,7,147,0.148148148148148,0.102040816326531,0.380952380952381,0.138353416729188,0.4096875,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"80",1655.72,0,0.675675675675676,0.105263157894737,45,0.630952380952381,0,0.472727272727273,0,0.358490566037736,0.178401068498378,0.110204081632653,34,14,0.407407407407407,0.387755102040816,0.391534391534392,0.0960328275481925,0.2765625,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1
"81",3246.68,0.245283018867925,0.648648648648649,0.105263157894737,85,0.404761904761905,0,0.218181818181818,0,0.169811320754717,0.221713413470712,0.161224489795918,7,528,0.185185185185185,0.102040816326531,0.439153439153439,0.130314954601828,0.4109375,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1
"82",2909.54,0,0.675675675675676,0.157894736842105,38,0.369047619047619,0,0.263636363636364,0,0.0566037735849057,0.223812249570693,0.202040816326531,33,132,0.0555555555555556,0.0204081632653061,0.55026455026455,0.178162943455161,0.4671875,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"83",437.14,0,0.027027027027027,0.0526315789473684,23,0.535714285714286,0,0.245454545454545,0,0.188679245283019,0.388475481778287,0.187755102040816,51,334,0.203703703703704,0.0816326530612245,0.306878306878307,0.180245287930058,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"84",241.3,0,0.540540540540541,0.421052631578947,33,0.642857142857143,0,0.445454545454545,0,0.226415094339623,0.184315970234688,0.118367346938776,15,253,0.277777777777778,0.244897959183673,0.433862433862434,0.0881704460198129,0.346875,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"85",90.4,0,0.675675675675676,0,62,0.380952380952381,0,0.263636363636364,0,0,0.157031100934936,0.118367346938776,14,410,0.0185185185185185,0,0.354497354497354,0.126487115493562,0.3984375,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"86",201.1,0.528301886792453,0.108108108108108,0.0526315789473684,75,0.178571428571429,0,0.0363636363636364,0,0.0754716981132075,0.283342873497424,0.210204081632653,33,132,0.111111111111111,0.102040816326531,0.544973544973545,0.159942429299812,0.4353125,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"87",965.14,0,0,0,76,0.452380952380952,0.608695652173913,0.336363636363636,0.342342342342342,0.207547169811321,0.184125166952872,0.118367346938776,51,336,0.222222222222222,0.204081632653061,0.444444444444444,0.0754467088239347,0.285,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"88",506.77,0.0377358490566038,0.135135135135135,0,8,0.19047619047619,0.391304347826087,0.145454545454545,0.0540540540540541,0.188679245283019,0.223812249570693,0.185714285714286,37,326,0.222222222222222,0.204081632653061,0.566137566137566,0.136837592442314,0.384375,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"89",597.52,0,0.216216216216216,0.105263157894737,90,0.380952380952381,0,0.290909090909091,0,0.150943396226415,0.453157794314062,0.220408163265306,37,341,0.203703703703704,0.122448979591837,0.206349206349206,0.265950605564147,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"90",1236,0,0.162162162162162,0,53,0.154761904761905,0,0.118181818181818,0,0.0754716981132075,0.299561152451822,0.3,3,39,0.0925925925925926,0.0612244897959184,0.724867724867725,0.277686760270092,0.4421875,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
